brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
tronix imaging center,0,0,1,0,0,0,6,29,0,1,37,4,False,True,TRONIX IMAGING CENTER
french baker,0,4,0,0,1,0,4,27,0,1,37,5,False,True,THE FRENCH BAKER
tobys,0,0,0,0,0,0,1,35,0,0,36,2,False,True,TOBYS
fonestyle,0,0,1,0,2,0,3,29,0,1,36,5,False,True,FONESTYLE
games & gadgets,0,0,0,0,0,0,1,35,0,0,36,2,False,True,GAMES & GADGETS
giligans restaurant,0,5,1,0,0,0,0,30,0,0,36,3,False,True,GILIGAN'S RESTAURANT
robinsons movieworld,0,0,0,0,0,0,36,0,0,0,36,1,False,False,ROBINSONS MOVIEWORLD
burger king,0,5,1,0,1,1,2,25,1,0,36,7,False,True,BURGER KING
dr kong,0,15,1,0,3,2,5,10,0,0,36,6,False,True,DR. KONG
rest n go,0,8,1,0,2,0,7,11,0,6,35,6,False,True,REST N GO
davids for rever,0,0,0,0,0,0,0,35,0,0,35,1,False,False,DAVIDS FOR REVER
pancake house,0,11,1,1,2,1,3,15,0,1,35,8,False,True,PANCAKE HOUSE
bsd international,0,0,0,0,0,0,0,35,0,0,35,1,False,False,BSD INTERNATIONAL
tech101,0,4,0,0,0,0,4,27,0,0,35,3,False,True,TECH101
casio,0,7,1,0,0,0,7,20,0,0,35,4,False,True,CASIO
gerrys grill,0,12,1,1,3,1,16,0,0,0,34,6,False,True,GERRY'S GRILL
bisen,2,0,1,0,0,0,1,30,0,0,34,4,False,True,BISEN
asus,0,3,0,0,0,1,2,28,0,0,34,4,False,True,ASUS
xiaomi,0,6,1,2,0,1,14,2,1,7,34,8,False,True,Xiaomi
expressions,0,2,0,0,0,0,5,3,1,23,34,5,False,True,Expressions
payless shoesource,0,10,1,0,0,0,0,23,0,0,34,3,False,True,PAYLESS SHOESOURCE
h&m,1,10,1,0,1,0,5,16,0,0,34,6,False,True,H&M
sm foodcourt,0,0,0,0,0,0,0,33,0,0,33,1,False,False,SM FOODCOURT
pepper lunch,0,7,0,2,5,0,4,15,0,0,33,5,False,True,PEPPER LUNCH
ramen kuroda,0,7,1,0,4,0,3,18,0,0,33,5,False,True,RAMEN KURODA
all about baking,0,0,0,0,1,0,4,25,0,3,33,4,False,True,ALL ABOUT BAKING
life four cuts,0,0,1,0,2,1,8,21,0,0,33,5,False,True,LIFE FOUR CUTS
our home,0,0,0,0,0,1,0,32,0,0,33,2,False,True,OUR HOME
unica hija,0,4,0,0,1,0,12,16,0,0,33,4,False,True,UNICA HIJA
south star drug,0,0,0,0,0,0,32,1,0,0,33,2,False,True,South Star Drug
fully booked,1,9,0,0,1,1,0,20,0,0,32,5,False,True,FULLY BOOKED
bench body,2,0,0,0,0,0,0,28,1,1,32,4,False,True,BENCH BODY
j co donuts coffee,0,0,0,0,0,0,0,32,0,0,32,1,False,False,J CO DONUTS COFFEE
mia maison,0,0,1,1,1,0,1,28,0,0,32,5,False,True,MIA MAISON
cebuana lhuillier,0,8,1,1,4,0,16,0,1,1,32,7,False,True,Cebuana Lhuillier
cabalen,0,3,1,0,1,0,3,24,0,0,32,5,False,True,CABALEN
booksale,1,1,0,0,0,0,7,21,1,1,32,6,False,True,BOOKSALE
pan de manila,0,3,0,0,9,0,6,9,0,5,32,5,False,True,Pan De Manila
national book store,0,0,0,1,0,0,31,0,0,0,32,2,False,True,National Book Store
chingu buko house,0,4,0,0,0,0,11,12,0,4,31,4,False,True,CHINGU BUKO HOUSE
ramen nagi,0,9,1,0,1,2,5,13,0,0,31,6,False,True,RAMEN NAGI
banh mi kitchen,0,4,0,1,3,0,2,21,0,0,31,5,False,True,BANH MI KITCHEN
lenovo,0,5,1,0,0,1,3,21,0,0,31,5,False,True,LENOVO
sumo niku unlimited japanese barbeque,0,4,0,0,0,0,0,27,0,0,31,2,False,True,SUMO NIKU UNLIMITED JAPANESE BARBEQUE
healthy options,0,13,1,0,2,1,1,13,0,0,31,6,False,True,HEALTHY OPTIONS
mossimo,0,1,1,0,0,0,2,27,0,0,31,4,False,True,MOSSIMO
vibes massage,0,0,1,0,0,0,11,18,1,0,31,4,False,True,VIBES MASSAGE
gerrys restaurant,0,0,0,0,0,0,0,31,0,0,31,1,False,False,GERRY'S RESTAURANT
