brand_key,display_name,chain,mall_id,mall_name,region
g forces enterprise,G Forces Enterprise,robinsons,robinsons-tacloban,Robinsons Place Tacloban,visayas
ging gings fruit stand,GING GING'S FRUIT STAND,ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas
ginataang bilo bilo mais,GINATAANG BILO BILO MAIS,sm,sm-city-lipa,SM City Lipa,south-luzon
ginataang bilo bilo & mais,GINATAANG BILO BILO & MAIS,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
giligans island bar restaurant,GILIGAN'S ISLAND BAR RESTAURANT,starmall,san-jose-del-monte,Starmall San Jose del Monte,north-luzon
gilak kebab,GILAK KEBAB,ayala,ayala-greenbelt,Greenbelt,metro-manila
gigli,GIGLI,ayala,ayala-market-market,Market! Market!,metro-manila
gigatech mobile shop,GIGATECH MOBILE SHOP,sm,sm-city-butuan,SM City Butuan,mindanao
gigatech,GIGATECH,robinsons,robinsons-butuan,Robinsons Place Butuan,mindanao
gigahertz satellite,Gigahertz Satellite,filinvest,festival-mall,Festival Mall,metro-manila
gigagadgets,GIGAGADGETS,sm,sm-city-fairview,SM City Fairview,metro-manila
gigabyte,GIGABYTE,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
gadget protekt,GADGET PROTEKT,sm,sm-city-cebu,SM City Cebu,visayas
gadget protector,GADGET PROTECTOR,sm,sm-city-san-jose-del-monte,SM City San Jose Del Monte,north-luzon
gitagum,Gitagum,robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao
girbaud,Girbaud,robinsons,robinsons-pangasinan,Robinsons Place Pangasinan,north-luzon
gionee gadget protekt,GIONEE/GADGET PROTEKT,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
ginza sushi,GINZA SUSHI,ayala,ayala-manila-bay,Ayala Malls Manila Bay,metro-manila
gintong sining art center,Gintong Sining Art Center,filinvest,festival-mall,Festival Mall,metro-manila
ginos pizza and pasta,GINO'S PIZZA AND PASTA,ayala,ayala-serendra,Shops at Serendra,metro-manila
gingersnap just g,GINGERSNAP / JUST G,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
gingerlily,Gingerlily,ortigas,greenhills,Greenhills,metro-manila
ginger wok rice house,Ginger Wok Rice House,robinsons,robinsons-north-tacloban,Robinsons North Tacloban,visayas
ginger wok,Ginger Wok,robinsons,robinsons-tacloban,Robinsons Place Tacloban,visayas
gadget corner,GADGET CORNER,sm,sm-city-pampanga,SM City Pampanga,north-luzon
gadget core,Gadget Core,araneta,farmers-plaza,Farmers Plaza,metro-manila
gadget central,Gadget Central,araneta,farmers-plaza,Farmers Plaza,metro-manila
