chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,lat,lon,geo_source,geo_precision,scraped_at
robinsons,robinsons-cagayan-de-oro,Robinsons Cagayan de Oro,mindanao,"Rosario Crescent cor. Florentino Street, Limketkai Center, Cagayan de Oro City",,https://robinsonsmalls.com/mall-info/robinsons-cagayan-de-oro,mall,8.481979,124.654535,osm,exact,2026-09-01
robinsons,robinsons-cybergate-davao,Robinsons Cybergate Davao,mindanao,"J.P. Laurel Ave., Davao City",,https://robinsonsmalls.com/mall-info/robinsons-cybergate-davao,mall,7.099272,125.624337,nominatim,exact,2026-09-01
robinsons,robinsons-pagadian,Robinsons Pagadian,mindanao,,,https://robinsonsmalls.com/mall-info/pagadian,mall,7.827592,123.437686,osm,exact,2026-09-01
robinsons,robinsons-butuan,Robinsons Place Butuan,mindanao,"J.C.Aquino Avenue, Butuan City 8600",,https://robinsonsmalls.com/mall-info/robinsons-place-butuan,mall,8.941342,125.520012,osm,exact,2026-09-01
robinsons,robinsons-gen-san,Robinsons Place GenSan,mindanao,"J. Catolico Sr. Avenue, Lagao, General Santos City",,https://robinsonsmalls.com/mall-info/robinsons-place-gensan,mall,6.12311,125.191383,nominatim,address,2026-09-01
robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao,"Macapagal Ave, Iligan City, Lanao del Norte",,https://robinsonsmalls.com/mall-info/robinsons-place-iligan,mall,8.245467,124.254294,nominatim,locality,2026-09-01
robinsons,robinsons-tagum,Robinsons Place Tagum,mindanao,"National Highway Tagum City, Davao City",,https://robinsonsmalls.com/mall-info/robinsons-place-tagum,mall,7.429432,125.797513,osm,exact,2026-09-01
robinsons,robinsons-valencia,Robinsons Place Valencia,mindanao,"Sayre Highway, Brgy. Hagkol, Bagontaas Valencia, Bukidnon",,https://robinsonsmalls.com/mall-info/robinsons-place-valencia,mall,7.928787,125.096366,nominatim,address,2026-09-01
robinsons,robinsons-angeles,Robinsons Angeles,north-luzon,"McArthur Highway, Balibago, Angeles City, Pampanga",,https://robinsonsmalls.com/mall-info/robinsons-angeles,mall,15.157344,120.591578,osm,exact,2026-09-01
robinsons,robinsons-gapan,Robinsons Gapan,north-luzon,,,https://robinsonsmalls.com/mall-info/gapan,mall,15.300888,120.948554,nominatim,address,2026-09-01
robinsons,robinsons-luisita,Robinsons Luisita,north-luzon,"Mac Arthur Highway, Barangay San Miguel, Hacienda Luisita, Tarlac City",,https://robinsonsmalls.com/mall-info/robinsons-luisita,mall,15.431262,120.599202,osm,exact,2026-09-01
robinsons,robinsons-ilocos,Robinsons Place Ilocos,north-luzon,"Barangay 1 San Francisco, San Nicholas, Ilocos Norte",,https://robinsonsmalls.com/mall-info/robinsons-place-ilocos,mall,18.179972,120.592831,osm,exact,2026-09-01
robinsons,robinsons-la-union,Robinsons Place La Union,north-luzon,"MacArthur Highway, Brgy. Sevilla, San Fernando City, La Union",,https://robinsonsmalls.com/mall-info/la-union,mall,16.600245,120.31908,osm,exact,2026-09-01
robinsons,robinsons-malolos,Robinsons Place Malolos,north-luzon,"Mac Arthur Highway, Sumapang Matanda Malolos City, Bulacan",,https://robinsonsmalls.com/mall-info/robinsons-place-malolos,mall,14.850403,120.823978,osm,exact,2026-09-01
robinsons,robinsons-pangasinan,Robinsons Place Pangasinan,north-luzon,"Mac Arthur Highway, Brgy. San Miguel, Calasiao, Pangasinan",,https://robinsonsmalls.com/mall-info/robinsons-place-pangasinan,mall,16.022306,120.358726,osm,exact,2026-09-01
robinsons,robinsons-santiago,Robinsons Place Santiago,north-luzon,"Maharlika Highway, Mabini, Santiago City, Isabela",,https://robinsonsmalls.com/mall-info/robinsons-place-santiago,mall,16.696045,121.56139,nominatim,address,2026-09-01
robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon,"Tanza Tuguegarao City, Cagayan",,https://robinsonsmalls.com/mall-info/robinsons-place-tuguegarao,mall,17.627957,121.733767,osm,exact,2026-09-01
robinsons,robinsons-starmills,Robinsons Starmills,north-luzon,"Brgy. San Jose City of San Fernando, Pampanga",,https://robinsonsmalls.com/mall-info/robinsons-starmills,mall,15.049964,120.698962,osm,exact,2026-09-01
robinsons,galleria-south,Robinsons Galleria South,south-luzon,"Km. 31, National Highway, Brgy. Nueva, San Pedro, Laguna",,https://robinsonsmalls.com/mall-info/galleria-south,mall,14.352254,121.061856,osm,exact,2026-09-01
robinsons,robinsons-dasmarinas,Robinsons Place Dasmarinas,south-luzon,"Emilio Aguinaldo Highway, corner Governor's Dr, Sitio Palapala, Dasmarinas, 4114 Cavite",,https://robinsonsmalls.com/mall-info/robinsons-place-dasmarinas,mall,14.300303,120.953748,osm,exact,2026-09-01
robinsons,robinsons-gentrias,Robinsons Place Gen. Trias,south-luzon,"A. Soriano Highway, EPZA-Bacao Diversion Road General Trias, Cavite",,https://robinsonsmalls.com/mall-info/robinsons-place-gen-trias,mall,14.397119,120.864839,nominatim,address,2026-09-01
robinsons,robinsons-imus,Robinsons Place Imus,south-luzon,"Gen. E. Aguinaldo Highway, Imus, Cavite",,https://robinsonsmalls.com/mall-info/robinsons-place-imus,mall,14.413091,120.94177,osm,exact,2026-09-01
robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon,"JP Laurel, National Highway, Mataas na Lupa, Lipa City",,https://robinsonsmalls.com/mall-info/robinsons-place-lipa,mall,13.943737,121.150577,nominatim,address,2026-09-01
robinsons,robinsons-naga,Robinsons Place Naga,south-luzon,"Roxas Avenue cor. Almeda Highway, Brgy. Triangulo, Naga City",,https://robinsonsmalls.com/mall-info/robinsons-place-naga,mall,13.61448,123.192814,osm,exact,2026-09-01
robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon,"National Highway, Barangay. San Manuel, Puerto Princesa City, Palawan",,https://robinsonsmalls.com/mall-info/robinsons-place-palawan,mall,9.767243,118.74848,osm,exact,2026-09-01
robinsons,robinsons-sta-rosa,Robinsons Sta. Rosa,south-luzon,"Old National Highway, Barangay Tagapo, Santa Rosa, Laguna",,https://robinsonsmalls.com/mall-info/robinsons-sta-rosa,mall,14.319004,121.097482,nominatim,exact,2026-09-01
robinsons,robinsons-tagaytay,Robinsons Tagaytay,south-luzon,"Tagaytay Nasugbu Road, Maharlika West, KM 58 Gen. E. Aguinaldo Highway, Tagaytay City",,https://robinsonsmalls.com/mall-info/robinsons-tagaytay,mall,14.097166,120.942326,osm,exact,2026-09-01
robinsons,robinsons-los-banos,Robinsons Town Mall Los Banos,south-luzon,"Lopez Avenue, Los Baños, Laguna",,https://robinsonsmalls.com/mall-info/robinsons-town-mall-los-banos,mall,14.17721,121.242092,osm,exact,2026-09-01
robinsons,cybergate-bacolod,Robinsons Cybergate Bacolod,visayas,,,https://robinsonsmalls.com/mall-info/cybergate-bacolod,mall,,,,,2026-09-01
robinsons,robinsons-cybergate-cebu,Robinsons Cybergate Cebu,visayas,"Don Gil Garcia Street, Capitol Site, Cebu City",,https://robinsonsmalls.com/mall-info/robinsons-cybergate-cebu,mall,10.310435,123.89194,osm,exact,2026-09-01
robinsons,robinsons-fuente,Robinsons Fuente,visayas,"Sta. Cruz, Fuente Osmeña Boulevard, Cebu City",,https://robinsonsmalls.com/mall-info/robinsons-fuente,mall,10.309312,123.894072,osm,exact,2026-09-01
robinsons,robinsons-galleria-cebu,Robinsons Galleria Cebu,visayas,"General Maxilom Avenue cor. Sergio Osmena Blvd., Brgy Tejero, Cebu City",,https://robinsonsmalls.com/mall-info/robinsons-galleria-cebu,mall,10.304175,123.910993,osm,exact,2026-09-01
robinsons,robinsons-north-tacloban,Robinsons North Tacloban,visayas,"Tacloban City, Leyte",,https://robinsonsmalls.com/mall-info/robinsons-north-tacloban,mall,11.240033,124.98706,osm,exact,2026-09-01
robinsons,robinsons-antique,Robinsons Place Antique,visayas,"National Highway, Brgy.San Angel, San Jose de Buenavista, Antique",,https://robinsonsmalls.com/mall-info/robinsons-place-antique,mall,10.735651,121.951554,nominatim,exact,2026-09-01
robinsons,robinsons-bacolod,Robinsons Place Bacolod,visayas,"Lacson Street, Mandalagan, Bacolod City",,https://robinsonsmalls.com/mall-info/robinsons-place-bacolod,mall,10.690887,122.958928,nominatim,exact,2026-09-01
robinsons,robinsons-dumaguete,Robinsons Place Dumaguete,visayas,"Dumaguete Business Park, Calindagan, Dumaguete City",,https://robinsonsmalls.com/mall-info/robinsons-place-dumaguete,mall,9.298387,123.303625,nominatim,exact,2026-09-01
robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas,"Corner De Leon & Quezon Sts., Iloilo City",,https://robinsonsmalls.com/mall-info/robinsons-place-iloilo,mall,10.694196,122.565573,nominatim,address,2026-09-01
robinsons,robinsons-jaro,Robinsons Place Jaro,visayas,"E. Lopez St., Brgy. San Vicente, Jaro Iloilo City",,https://robinsonsmalls.com/mall-info/robinsons-place-jaro,mall,10.731132,122.54146,nominatim,locality,2026-09-01
robinsons,robinsons-ormoc,Robinsons Place Ormoc,visayas,"Brgy. Cogon, Ormoc City, Leyte",,https://robinsonsmalls.com/mall-info/robinsons-place-ormoc,mall,10.685009,124.804369,nominatim,address,2026-09-01
robinsons,robinsons-pavia,Robinsons Place Pavia,visayas,"Sen. Benigno S. Aquino Jr. Ave, Brgy Ungka 2, Pavia, Iloilo",,https://robinsonsmalls.com/mall-info/robinsons-place-pavia,mall,10.753914,122.539936,osm,exact,2026-09-01
